learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.0,1,10,19561831
IBest,1.0,0.0,1,9,19561832
IBest,1.0,0.08,1,11,19561833
IBest,0.25,0.019,4,11,19561834
IBest,1.0,0.0,1,9,19561835
IBest,1.0,0.05,1,10,19561836
IBest,1.0,0.052,1,9,19561837
IBest,1.0,0.0,1,10,19561838
IBest,0.5,0.012,2,12,19561839
IBest,1.0,0.0,1,8,19561840
IBest,1.0,0.0,1,9,19561841
IBest,0.5,0.0,2,9,19561842
IBest,0.125,0.0553,8,23,19561843
IBest,0.5,0.016,2,13,19561844
IBest,1.0,0.0,1,10,19561845
IBest,0.5,0.0,2,13,19561846
IBest,1.0,0.0,1,15,19561847
IBest,1.0,0.033,1,9,19561848
IBest,1.0,0.055,1,12,19561849
IBest,0.25,0.033,4,13,19561850
IBest,1.0,0.024,1,10,19561851
IBest,0.5,0.0,2,12,19561852
IBest,1.0,0.014,1,10,19561853
IBest,1.0,0.024,1,11,19561854
IBest,1.0,0.0,1,8,19561855
IBest,1.0,0.018,1,11,19561856
IBest,0.5,0.044,2,17,19561857
IBest,0.0833,0.1015,12,22,19561858
IBest,1.0,0.015,1,10,19561859
IBest,0.25,0.5035,4,30,19561860
IBest,1.0,0.027,1,11,19561861
IBest,0.5,0.029,2,13,19561862
IBest,1.0,0.012,1,8,19561863
IBest,1.0,0.036,1,10,19561864
IBest,0.5,0.0,2,12,19561865
IBest,1.0,0.013,1,8,19561866
IBest,1.0,0.03,1,10,19561867
IBest,1.0,0.0,1,9,19561868
IBest,1.0,0.018,1,9,19561869
IBest,0.25,0.018,4,14,19561870
IBest,0.5,0.029,2,8,19561871
IBest,0.5,0.018,2,14,19561872
IBest,1.0,0.015,1,9,19561873
IBest,1.0,0.0,1,10,19561874
IBest,0.5,0.0,2,9,19561875
IBest,1.0,0.053,1,11,19561876
IBest,0.5,0.0685,2,12,19561877
IBest,0.5,0.0,2,16,19561878
IBest,0.5,0.0,2,15,19561879
IBest,1.0,0.0,1,8,19561880
IBest,0.5,0.012,2,10,19561881
IBest,0.5,0.0,2,13,19561882
IBest,1.0,0.067,1,13,19561883
IBest,0.25,0.0,4,12,19561884
IBest,0.5,0.016,2,11,19561885
IBest,1.0,0.026,1,14,19561886
IBest,1.0,0.053,1,10,19561887
IBest,1.0,0.018,1,11,19561888
IBest,0.25,0.016,4,14,19561889
IBest,1.0,0.016,1,9,19561890
IBest,1.0,0.019,1,11,19561891
IBest,1.0,0.0,1,10,19561892
IBest,0.5,0.019,2,10,19561893
IBest,0.5,0.0,2,12,19561894
IBest,1.0,0.027,1,14,19561895
IBest,1.0,0.043,1,11,19561896
IBest,1.0,0.017,1,8,19561897
IBest,1.0,0.0,1,8,19561898
IBest,1.0,0.0,1,9,19561899
IBest,1.0,0.012,1,11,19561900
IBest,0.5,0.0,2,10,19561901
IBest,1.0,0.017,1,9,19561902
IBest,1.0,0.018,1,11,19561903
IBest,1.0,0.0,1,7,19561904
IBest,0.5,0.012,2,18,19561905
IBest,1.0,0.033,1,12,19561906
IBest,1.0,0.022,1,8,19561907
IBest,0.5,0.0,2,12,19561908
IBest,0.5,0.0,2,10,19561909
IBest,0.5,0.049,2,10,19561910
IBest,1.0,0.017,1,9,19561911
IBest,0.5,0.057,2,12,19561912
IBest,1.0,0.026,1,14,19561913
IBest,1.0,0.0,1,14,19561914
IBest,1.0,0.0,1,11,19561915
IBest,0.25,0.049,4,14,19561916
IBest,1.0,0.057,1,9,19561917
IBest,0.5,0.0,2,10,19561918
IBest,1.0,0.0,1,10,19561919
IBest,0.125,0.1005,8,22,19561920
IBest,1.0,0.051,1,10,19561921
IBest,1.0,0.012,1,10,19561922
IBest,1.0,0.0,1,13,19561923
IBest,0.5,0.022,2,13,19561924
IBest,1.0,0.0,1,11,19561925
IBest,0.5,0.0,2,9,19561926
IBest,1.0,0.0,1,9,19561927
IBest,0.5,0.035,2,13,19561928
IBest,0.5,0.048,2,15,19561929
IBest,1.0,0.02,1,9,19561930
IProb,0.001,0.0003,0,1000,19561831
IProb,0.001,0.0005,0,1000,19561832
IProb,0.001,0.001,0,1000,19561833
IProb,0.001,0.0005,0,1000,19561834
IProb,0.001,0.0005,0,1000,19561835
IProb,0.001,0.0017,0,1000,19561836
IProb,0.001,0.0009,0,1000,19561837
IProb,0.001,0.0008,0,1000,19561838
IProb,0.001,0.0004,0,1000,19561839
IProb,0.001,0.0004,0,1000,19561840
IProb,0.001,0.0004,0,1000,19561841
IProb,0.001,0.0002,0,1000,19561842
IProb,0.001,0.0012,0,1000,19561843
IProb,0.001,0.0006,0,1000,19561844
IProb,0.001,0.0005,0,1000,19561845
IProb,0.001,0.0005,0,1000,19561846
IProb,0.001,0.0013,0,1000,19561847
IProb,0.001,0.0006,0,1000,19561848
IProb,0.001,0.0007,0,1000,19561849
IProb,0.001,0.0013,0,1000,19561850
IProb,0.001,0.0003,0,1000,19561851
IProb,0.001,0.0002,0,1000,19561852
IProb,0.001,0.0004,0,1000,19561853
IProb,0.001,0.0006,0,1000,19561854
IProb,0.001,0.0006,0,1000,19561855
IProb,0.001,0.0006,0,1000,19561856
IProb,0.001,0.0004,0,1000,19561857
IProb,0.001,0.0016,0,1000,19561858
IProb,0.001,0.0006,0,1000,19561859
IProb,0.001,0.0064,0,1000,19561860
IProb,0.001,0.0005,0,1000,19561861
IProb,0.001,0.0015,0,1000,19561862
IProb,0.001,0.0009,0,1000,19561863
IProb,0.001,0.0008,0,1000,19561864
IProb,0.001,0.0002,0,1000,19561865
IProb,0.001,0.0005,0,1000,19561866
IProb,0.001,0.0007,0,1000,19561867
IProb,0.001,0.0004,0,1000,19561868
IProb,0.001,0.0009,0,1000,19561869
IProb,0.001,0.0003,0,1000,19561870
IProb,0.001,0.0004,0,1000,19561871
IProb,0.001,0.0008,0,1000,19561872
IProb,0.001,0.001,0,1000,19561873
IProb,0.001,0.0005,0,1000,19561874
IProb,0.001,0.0003,0,1000,19561875
IProb,0.001,0.001,0,1000,19561876
IProb,0.001,0.0005,0,1000,19561877
IProb,0.001,0.0003,0,1000,19561878
IProb,0.001,0.0003,0,1000,19561879
IProb,0.001,0.0004,0,1000,19561880
IProb,0.001,0.0006,0,1000,19561881
IProb,0.001,0.0006,0,1000,19561882
IProb,0.001,0.0011,0,1000,19561883
IProb,0.001,0.0003,0,1000,19561884
IProb,0.001,0.0007,0,1000,19561885
IProb,0.001,0.0007,0,1000,19561886
IProb,0.001,0.0008,0,1000,19561887
IProb,0.001,0.0006,0,1000,19561888
IProb,0.001,0.0005,0,1000,19561889
IProb,0.001,0.0007,0,1000,19561890
IProb,0.001,0.0006,0,1000,19561891
IProb,0.001,0.0003,0,1000,19561892
IProb,0.001,0.0003,0,1000,19561893
IProb,0.001,0.0005,0,1000,19561894
IProb,0.001,0.0011,0,1000,19561895
IProb,0.001,0.0004,0,1000,19561896
IProb,0.001,0.0005,0,1000,19561897
IProb,0.001,0.0003,0,1000,19561898
IProb,0.001,0.0006,0,1000,19561899
IProb,0.001,0.0009,0,1000,19561900
IProb,0.001,0.0004,0,1000,19561901
IProb,0.001,0.0006,0,1000,19561902
IProb,0.001,0.0006,0,1000,19561903
IProb,0.001,0.0003,0,1000,19561904
IProb,0.001,0.0006,0,1000,19561905
IProb,0.001,0.001,0,1000,19561906
IProb,0.001,0.0005,0,1000,19561907
IProb,0.001,0.0004,0,1000,19561908
IProb,0.001,0.0005,0,1000,19561909
IProb,0.001,0.0007,0,1000,19561910
IProb,0.001,0.0003,0,1000,19561911
IProb,0.001,0.0009,0,1000,19561912
IProb,0.001,0.0008,0,1000,19561913
IProb,0.001,0.0011,0,1000,19561914
IProb,0.001,0.0013,0,1000,19561915
IProb,0.001,0.0007,0,1000,19561916
IProb,0.001,0.0005,0,1000,19561917
IProb,0.001,0.0005,0,1000,19561918
IProb,0.001,0.001,0,1000,19561919
IProb,0.001,0.0015,0,1000,19561920
IProb,0.001,0.0005,0,1000,19561921
IProb,0.001,0.0004,0,1000,19561922
IProb,0.001,0.0004,0,1000,19561923
IProb,0.001,0.0012,0,1000,19561924
IProb,0.001,0.0003,0,1000,19561925
IProb,0.001,0.0006,0,1000,19561926
IProb,0.001,0.0009,0,1000,19561927
IProb,0.001,0.0005,0,1000,19561928
IProb,0.001,0.0008,0,1000,19561929
IProb,0.001,0.0005,0,1000,19561930
IAvg,0.25,0.027,4,24,19561831
IAvg,0.25,0.074,4,32,19561832
IAvg,0.25,0.1527,4,29,19561833
IAvg,0.0833,0.06,12,39,19561834
IAvg,0.0833,0.048,12,31,19561835
IAvg,0.025,0.2615,40,94,19561836
IAvg,0.125,0.1291,8,41,19561837
IAvg,0.0417,0.0895,24,56,19561838
IAvg,0.0833,0.056,12,28,19561839
IAvg,0.0833,0.029,12,35,19561840
IAvg,0.25,0.013,4,20,19561841
IAvg,0.0417,0.018,24,59,19561842
IAvg,0.25,0.1265,4,30,19561843
IAvg,0.125,0.05,8,33,19561844
IAvg,0.0833,0.016,12,55,19561845
IAvg,0.25,0.0415,4,30,19561846
IAvg,0.025,0.2722,40,417,19561847
IAvg,0.125,0.036,8,29,19561848
IAvg,0.25,0.1185,4,29,19561849
IAvg,0.0417,0.0558,24,44,19561850
IAvg,0.25,0.036,4,22,19561851
IAvg,0.0833,0.016,12,36,19561852
IAvg,0.25,0.055,4,25,19561853
IAvg,0.0833,0.1092,12,46,19561854
IAvg,0.125,0.0,8,31,19561855
IAvg,0.0833,0.015,12,33,19561856
IAvg,0.125,0.0905,8,26,19561857
IAvg,0.25,0.071,4,27,19561858
IAvg,0.0833,0.1022,12,42,19561859
IAvg,0.0833,0.0705,12,42,19561860
IAvg,0.0833,0.014,12,44,19561861
IAvg,0.0625,0.112,16,65,19561862
IAvg,0.0833,0.0855,12,32,19561863
IAvg,0.0833,0.104,12,36,19561864
IAvg,0.25,0.017,4,27,19561865
IAvg,0.0417,0.026,24,49,19561866
IAvg,0.025,0.0446,40,63,19561867
IAvg,0.0833,0.017,12,46,19561868
IAvg,0.0417,0.073,24,50,19561869
IAvg,0.25,0.032,4,24,19561870
IAvg,0.25,0.031,4,20,19561871
IAvg,0.25,0.034,4,25,19561872
IAvg,0.0833,0.094,12,36,19561873
IAvg,0.25,0.048,4,32,19561874
IAvg,0.25,0.016,4,32,19561875
IAvg,0.0417,0.1891,24,59,19561876
IAvg,0.25,0.05,4,34,19561877
IAvg,0.0833,0.044,12,33,19561878
IAvg,0.0833,0.0655,12,48,19561879
IAvg,0.25,0.025,4,19,19561880
IAvg,0.25,0.091,4,37,19561881
IAvg,0.25,0.0145,4,25,19561882
IAvg,0.0833,0.0447,12,37,19561883
IAvg,0.25,0.0462,4,42,19561884
IAvg,0.25,0.107,4,28,19561885
IAvg,0.25,0.1683,4,30,19561886
IAvg,0.25,0.1163,4,30,19561887
IAvg,0.0833,0.0835,12,34,19561888
IAvg,0.25,0.044,4,28,19561889
IAvg,0.0417,0.1125,24,49,19561890
IAvg,0.25,0.078,4,31,19561891
IAvg,0.25,0.02,4,27,19561892
IAvg,0.25,0.027,4,48,19561893
IAvg,0.0417,0.1075,24,58,19561894
IAvg,0.0167,0.0872,60,92,19561895
IAvg,0.25,0.059,4,36,19561896
IAvg,0.25,0.049,4,35,19561897
IAvg,0.0833,0.014,12,30,19561898
IAvg,0.25,0.081,4,32,19561899
IAvg,0.25,0.051,4,22,19561900
IAvg,0.25,0.0597,4,36,19561901
IAvg,0.0833,0.0848,12,33,19561902
IAvg,0.25,0.018,4,34,19561903
IAvg,0.25,0.055,4,20,19561904
IAvg,0.0833,0.081,12,34,19561905
IAvg,0.125,0.0955,8,29,19561906
IAvg,0.0119,0.0615,84,121,19561907
IAvg,0.125,0.1103,8,47,19561908
IAvg,0.125,0.0958,8,37,19561909
IAvg,0.0083,0.1386,120,154,19561910
IAvg,0.25,0.0473,4,38,19561911
IAvg,0.25,0.077,4,24,19561912
IAvg,0.125,0.1212,8,37,19561913
IAvg,0.25,0.119,4,33,19561914
IAvg,0.25,0.014,4,28,19561915
IAvg,0.25,0.017,4,26,19561916
IAvg,0.125,0.1085,8,27,19561917
IAvg,0.25,0.053,4,30,19561918
IAvg,0.0833,0.041,12,35,19561919
IAvg,0.125,0.143,8,43,19561920
IAvg,0.25,0.027,4,27,19561921
IAvg,0.25,0.07,4,27,19561922
IAvg,0.25,0.055,4,25,19561923
IAvg,0.25,0.1,4,33,19561924
IAvg,0.125,0.064,8,34,19561925
IAvg,0.25,0.045,4,26,19561926
IAvg,0.0833,0.0788,12,34,19561927
IAvg,0.0833,0.067,12,36,19561928
IAvg,0.0417,0.098,24,45,19561929
IAvg,0.0833,0.056,12,31,19561930
BestR,1.0,0.0,1,3,19561831
BestR,1.0,0.0,1,3,19561832
BestR,1.0,0.0,1,3,19561833
BestR,1.0,0.0,1,3,19561834
BestR,1.0,0.0,1,3,19561835
BestR,1.0,0.0,1,3,19561836
BestR,1.0,0.0,1,3,19561837
BestR,1.0,0.0,1,3,19561838
BestR,1.0,0.0,1,3,19561839
BestR,1.0,0.0,1,3,19561840
BestR,1.0,0.0,1,3,19561841
BestR,1.0,0.0,1,3,19561842
BestR,1.0,0.0,1,3,19561843
BestR,1.0,0.0,1,3,19561844
BestR,1.0,0.0,1,3,19561845
BestR,1.0,0.0,1,3,19561846
BestR,1.0,0.0,1,3,19561847
BestR,1.0,0.0,1,3,19561848
BestR,1.0,0.0,1,3,19561849
BestR,1.0,0.0,1,3,19561850
BestR,1.0,0.0,1,3,19561851
BestR,1.0,0.0,1,3,19561852
BestR,1.0,0.0,1,3,19561853
BestR,1.0,0.0,1,3,19561854
BestR,1.0,0.0,1,3,19561855
BestR,1.0,0.0,1,3,19561856
BestR,1.0,0.0,1,3,19561857
BestR,1.0,0.0,1,3,19561858
BestR,1.0,0.0,1,3,19561859
BestR,1.0,0.0,1,3,19561860
BestR,1.0,0.0,1,3,19561861
BestR,1.0,0.0,1,3,19561862
BestR,1.0,0.0,1,3,19561863
BestR,1.0,0.0,1,3,19561864
BestR,1.0,0.0,1,3,19561865
BestR,1.0,0.0,1,3,19561866
BestR,1.0,0.0,1,4,19561867
BestR,1.0,0.0,1,3,19561868
BestR,1.0,0.0,1,3,19561869
BestR,1.0,0.0,1,3,19561870
