neighborhood,stability,morality,cycle length,generation count,seed
N4,1.0,1.0,1,9,19561831
N4,1.0,1.0,1,11,19561832
N4,1.0,1.0,1,11,19561833
N4,1.0,1.0,1,9,19561834
N4,1.0,1.0,1,10,19561835
N4,1.0,1.0,1,14,19561836
N4,1.0,1.0,1,14,19561837
N4,1.0,1.0,1,6,19561838
N4,1.0,1.0,1,10,19561839
N4,1.0,1.0,1,13,19561840
N4,1.0,1.0,1,12,19561841
N4,1.0,1.0,1,14,19561842
N4,1.0,1.0,1,10,19561843
N4,1.0,1.0,1,11,19561844
N4,1.0,1.0,1,12,19561845
N4,1.0,1.0,1,6,19561846
N4,1.0,1.0,1,9,19561847
N4,1.0,1.0,1,11,19561848
N4,1.0,1.0,1,12,19561849
N4,1.0,1.0,1,9,19561850
N4,1.0,1.0,1,7,19561851
N4,1.0,1.0,1,10,19561852
N4,1.0,1.0,1,11,19561853
N4,1.0,1.0,1,9,19561854
N4,1.0,1.0,1,8,19561855
N4,1.0,1.0,1,10,19561856
N4,1.0,1.0,1,6,19561857
N4,1.0,1.0,1,9,19561858
N4,1.0,1.0,1,14,19561859
N4,1.0,1.0,1,12,19561860
N4,1.0,1.0,1,10,19561861
N4,1.0,1.0,1,11,19561862
N4,1.0,1.0,1,11,19561863
N4,1.0,1.0,1,11,19561864
N4,1.0,1.0,1,7,19561865
N4,1.0,1.0,1,11,19561866
N4,1.0,1.0,1,14,19561867
N4,1.0,1.0,1,13,19561868
N4,1.0,1.0,1,8,19561869
N4,1.0,1.0,1,15,19561870
N4,1.0,1.0,1,14,19561871
N4,1.0,1.0,1,12,19561872
N4,1.0,1.0,1,13,19561873
N4,1.0,1.0,1,10,19561874
N4,1.0,1.0,1,9,19561875
N4,1.0,1.0,1,13,19561876
N4,1.0,1.0,1,13,19561877
N4,1.0,1.0,1,10,19561878
N4,1.0,1.0,1,12,19561879
N4,1.0,1.0,1,9,19561880
N4,1.0,1.0,1,9,19561881
N4,1.0,1.0,1,12,19561882
N4,1.0,1.0,1,11,19561883
N4,1.0,1.0,1,8,19561884
N4,1.0,1.0,1,15,19561885
N4,1.0,1.0,1,8,19561886
N4,1.0,1.0,1,8,19561887
N4,1.0,1.0,1,12,19561888
N4,1.0,1.0,1,10,19561889
N4,1.0,1.0,1,14,19561890
N4,1.0,1.0,1,11,19561891
N4,1.0,1.0,1,13,19561892
N4,1.0,1.0,1,11,19561893
N4,1.0,1.0,1,12,19561894
N4,1.0,1.0,1,10,19561895
N4,1.0,1.0,1,11,19561896
N4,1.0,1.0,1,10,19561897
N4,1.0,1.0,1,8,19561898
N4,1.0,1.0,1,9,19561899
N4,1.0,1.0,1,16,19561900
N4,1.0,1.0,1,10,19561901
N4,1.0,1.0,1,8,19561902
N4,1.0,1.0,1,14,19561903
N4,1.0,1.0,1,17,19561904
N4,1.0,1.0,1,13,19561905
N4,1.0,1.0,1,11,19561906
N4,1.0,1.0,1,10,19561907
N4,1.0,1.0,1,8,19561908
N4,1.0,1.0,1,10,19561909
N4,1.0,1.0,1,11,19561910
N4,1.0,1.0,1,11,19561911
N4,1.0,1.0,1,11,19561912
N4,1.0,1.0,1,13,19561913
N4,1.0,1.0,1,10,19561914
N4,1.0,1.0,1,12,19561915
N4,1.0,1.0,1,13,19561916
N4,1.0,1.0,1,12,19561917
N4,1.0,1.0,1,11,19561918
N4,1.0,1.0,1,11,19561919
N4,1.0,1.0,1,11,19561920
N4,1.0,1.0,1,9,19561921
N4,1.0,1.0,1,12,19561922
N4,1.0,1.0,1,11,19561923
N4,1.0,1.0,1,10,19561924
N4,1.0,1.0,1,15,19561925
N4,1.0,1.0,1,7,19561926
N4,1.0,1.0,1,11,19561927
N4,1.0,1.0,1,9,19561928
N4,1.0,1.0,1,9,19561929
N4,1.0,1.0,1,11,19561930
N12,1.0,1.0,1,3,19561831
N12,1.0,1.0,1,5,19561832
N12,1.0,1.0,1,5,19561833
N12,1.0,1.0,1,4,19561834
N12,1.0,1.0,1,5,19561835
N12,1.0,1.0,1,5,19561836
N12,1.0,1.0,1,5,19561837
N12,1.0,1.0,1,3,19561838
N12,1.0,1.0,1,5,19561839
N12,1.0,1.0,1,7,19561840
N12,1.0,1.0,1,5,19561841
N12,1.0,1.0,1,5,19561842
N12,1.0,1.0,1,4,19561843
N12,1.0,1.0,1,5,19561844
N12,1.0,1.0,1,5,19561845
N12,1.0,1.0,1,3,19561846
N12,1.0,1.0,1,4,19561847
N12,1.0,1.0,1,5,19561848
N12,1.0,1.0,1,5,19561849
N12,1.0,1.0,1,4,19561850
N12,1.0,1.0,1,3,19561851
N12,1.0,1.0,1,4,19561852
N12,1.0,1.0,1,5,19561853
N12,1.0,1.0,1,4,19561854
N12,1.0,1.0,1,4,19561855
N12,1.0,1.0,1,4,19561856
N12,1.0,1.0,1,3,19561857
N12,1.0,1.0,1,4,19561858
N12,1.0,1.0,1,6,19561859
N12,1.0,1.0,1,6,19561860
N12,1.0,1.0,1,6,19561861
N12,1.0,1.0,1,5,19561862
N12,1.0,1.0,1,5,19561863
N12,1.0,1.0,1,4,19561864
N12,1.0,1.0,1,4,19561865
N12,1.0,1.0,1,5,19561866
N12,1.0,1.0,1,5,19561867
N12,1.0,1.0,1,5,19561868
N12,1.0,1.0,1,4,19561869
N12,1.0,1.0,1,8,19561870
N12,1.0,1.0,1,6,19561871
N12,1.0,1.0,1,5,19561872
N12,1.0,1.0,1,5,19561873
N12,1.0,1.0,1,5,19561874
N12,1.0,1.0,1,4,19561875
N12,1.0,1.0,1,5,19561876
N12,1.0,1.0,1,5,19561877
N12,1.0,1.0,1,4,19561878
N12,1.0,1.0,1,5,19561879
N12,1.0,1.0,1,4,19561880
N12,1.0,1.0,1,4,19561881
N12,1.0,1.0,1,6,19561882
N12,1.0,1.0,1,5,19561883
N12,1.0,1.0,1,4,19561884
N12,1.0,1.0,1,6,19561885
N12,1.0,1.0,1,4,19561886
N12,1.0,1.0,1,4,19561887
N12,1.0,1.0,1,6,19561888
N12,1.0,1.0,1,5,19561889
N12,1.0,1.0,1,5,19561890
N12,1.0,1.0,1,5,19561891
N12,1.0,1.0,1,7,19561892
N12,1.0,1.0,1,4,19561893
N12,1.0,1.0,1,6,19561894
N12,1.0,1.0,1,4,19561895
N12,1.0,1.0,1,4,19561896
N12,1.0,1.0,1,5,19561897
N12,1.0,1.0,1,4,19561898
N12,1.0,1.0,1,5,19561899
N12,1.0,1.0,1,9,19561900
N12,1.0,1.0,1,4,19561901
N12,1.0,1.0,1,3,19561902
N12,1.0,1.0,1,7,19561903
N12,1.0,1.0,1,6,19561904
N12,1.0,1.0,1,5,19561905
N12,1.0,1.0,1,5,19561906
N12,1.0,1.0,1,4,19561907
N12,1.0,1.0,1,4,19561908
N12,1.0,1.0,1,6,19561909
N12,1.0,1.0,1,5,19561910
N12,1.0,1.0,1,4,19561911
N12,1.0,1.0,1,5,19561912
N12,1.0,1.0,1,5,19561913
N12,1.0,1.0,1,4,19561914
N12,1.0,1.0,1,5,19561915
N12,1.0,1.0,1,5,19561916
N12,1.0,1.0,1,5,19561917
N12,1.0,1.0,1,5,19561918
N12,1.0,1.0,1,5,19561919
N12,1.0,1.0,1,5,19561920
N12,1.0,1.0,1,4,19561921
N12,1.0,1.0,1,5,19561922
N12,1.0,1.0,1,4,19561923
N12,1.0,1.0,1,4,19561924
N12,1.0,1.0,1,7,19561925
N12,1.0,1.0,1,3,19561926
N12,1.0,1.0,1,5,19561927
N12,1.0,1.0,1,4,19561928
N12,1.0,1.0,1,4,19561929
N12,1.0,1.0,1,7,19561930
N24,1.0,1.0,1,3,19561831
N24,1.0,1.0,1,4,19561832
N24,1.0,1.0,1,4,19561833
N24,1.0,1.0,1,3,19561834
N24,1.0,1.0,1,4,19561835
N24,1.0,1.0,1,4,19561836
N24,1.0,1.0,1,4,19561837
N24,1.0,1.0,1,3,19561838
N24,1.0,1.0,1,4,19561839
N24,1.0,1.0,1,5,19561840
N24,1.0,1.0,1,4,19561841
N24,1.0,1.0,1,4,19561842
N24,1.0,1.0,1,4,19561843
N24,1.0,1.0,1,4,19561844
N24,1.0,1.0,1,4,19561845
N24,1.0,1.0,1,3,19561846
N24,1.0,1.0,1,4,19561847
N24,1.0,1.0,1,4,19561848
N24,1.0,1.0,1,4,19561849
N24,1.0,1.0,1,4,19561850
N24,1.0,1.0,1,3,19561851
N24,1.0,1.0,1,3,19561852
N24,1.0,1.0,1,4,19561853
N24,1.0,1.0,1,3,19561854
N24,1.0,1.0,1,3,19561855
N24,1.0,1.0,1,3,19561856
N24,1.0,1.0,1,3,19561857
N24,1.0,1.0,1,3,19561858
N24,1.0,1.0,1,5,19561859
N24,1.0,1.0,1,5,19561860
N24,1.0,1.0,1,4,19561861
N24,1.0,1.0,1,4,19561862
N24,1.0,1.0,1,4,19561863
N24,1.0,1.0,1,4,19561864
N24,1.0,1.0,1,3,19561865
N24,1.0,1.0,1,4,19561866
N24,1.0,1.0,1,5,19561867
N24,1.0,1.0,1,4,19561868
N24,1.0,1.0,1,4,19561869
N24,1.0,1.0,1,7,19561870
N24,1.0,1.0,1,5,19561871
N24,1.0,1.0,1,4,19561872
N24,1.0,1.0,1,4,19561873
N24,1.0,1.0,1,3,19561874
N24,1.0,1.0,1,3,19561875
N24,1.0,1.0,1,4,19561876
N24,1.0,1.0,1,4,19561877
N24,1.0,1.0,1,3,19561878
N24,1.0,1.0,1,4,19561879
N24,1.0,1.0,1,3,19561880
N24,1.0,1.0,1,4,19561881
N24,1.0,1.0,1,5,19561882
N24,1.0,1.0,1,4,19561883
N24,1.0,1.0,1,3,19561884
N24,1.0,1.0,1,5,19561885
