learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.0,1,2,19561831
IBest,1.0,0.0,1,2,19561832
IBest,1.0,0.0,1,2,19561833
IBest,1.0,0.0,1,2,19561834
IBest,1.0,0.0,1,2,19561835
IBest,1.0,0.0,1,2,19561836
IBest,1.0,0.0,1,2,19561837
IBest,1.0,0.0,1,2,19561838
IBest,1.0,0.0,1,2,19561839
IBest,1.0,0.0,1,2,19561840
IProb,0.001,0.0,0,1000,19561831
IProb,0.001,0.0,0,1000,19561832
IProb,0.001,0.0,0,1000,19561833
IProb,0.001,0.0,0,1000,19561834
IProb,0.001,0.0,0,1000,19561835
IProb,0.001,0.0,0,1000,19561836
IProb,0.001,0.0,0,1000,19561837
IProb,0.001,0.0,0,1000,19561838
IProb,0.001,0.0,0,1000,19561839
IProb,0.001,0.0,0,1000,19561840
IAvg,1.0,0.0,1,2,19561831
IAvg,1.0,0.0,1,2,19561832
IAvg,1.0,0.0,1,2,19561833
IAvg,1.0,0.0,1,2,19561834
IAvg,1.0,0.0,1,2,19561835
IAvg,1.0,0.0,1,2,19561836
IAvg,1.0,0.0,1,2,19561837
IAvg,1.0,0.0,1,2,19561838
IAvg,1.0,0.0,1,2,19561839
IAvg,1.0,0.0,1,2,19561840
BestR,1.0,0.0,1,2,19561831
BestR,1.0,0.0,1,2,19561832
BestR,1.0,0.0,1,2,19561833
BestR,1.0,0.0,1,2,19561834
BestR,1.0,0.0,1,2,19561835
BestR,1.0,0.0,1,2,19561836
BestR,1.0,0.0,1,2,19561837
BestR,1.0,0.0,1,2,19561838
BestR,1.0,0.0,1,2,19561839
BestR,1.0,0.0,1,2,19561840
