edge probability,stability,morality,cycle length,generation count,seed
0.004,1.0,0.0,1,5,19561831
0.004,1.0,0.037,1,6,19561832
0.004,1.0,0.043,1,5,19561833
0.004,1.0,0.052,1,5,19561834
0.004,1.0,0.046,1,5,19561835
0.004,1.0,0.0,1,4,19561836
0.004,1.0,0.018,1,5,19561837
0.004,1.0,0.094,1,6,19561838
0.004,1.0,0.025,1,5,19561839
0.004,1.0,0.008,1,5,19561840
0.004,1.0,0.012,1,5,19561841
0.004,1.0,0.081,1,8,19561842
0.004,1.0,0.033,1,4,19561843
0.004,1.0,0.087,1,5,19561844
0.004,1.0,0.0,1,4,19561845
0.004,1.0,0.073,1,5,19561846
0.004,1.0,0.025,1,4,19561847
0.004,0.5,0.075,2,7,19561848
0.004,1.0,0.033,1,7,19561849
0.004,1.0,0.009,1,5,19561850
0.004,1.0,0.037,1,4,19561851
0.004,1.0,0.025,1,5,19561852
0.004,1.0,0.031,1,5,19561853
0.004,1.0,0.09,1,7,19561854
0.004,1.0,0.034,1,4,19561855
0.004,1.0,0.0,1,5,19561856
0.004,1.0,0.041,1,5,19561857
0.004,1.0,0.075,1,6,19561858
0.004,1.0,0.025,1,6,19561859
0.004,1.0,0.037,1,5,19561860
0.004,1.0,0.058,1,5,19561861
0.004,1.0,0.0,1,4,19561862
0.004,1.0,0.007,1,4,19561863
0.004,1.0,0.0,1,4,19561864
0.004,1.0,0.0,1,5,19561865
0.004,1.0,0.053,1,7,19561866
0.004,1.0,0.036,1,6,19561867
0.004,1.0,0.0,1,5,19561868
0.004,1.0,0.018,1,4,19561869
0.004,1.0,0.019,1,4,19561870
0.004,1.0,0.037,1,4,19561871
0.004,1.0,0.039,1,5,19561872
0.004,1.0,0.066,1,7,19561873
0.004,0.5,0.085,2,7,19561874
0.004,1.0,0.0,1,5,19561875
0.004,1.0,0.03,1,5,19561876
0.004,1.0,0.048,1,6,19561877
0.004,1.0,0.05,1,6,19561878
0.004,1.0,0.0,1,6,19561879
0.004,1.0,0.035,1,6,19561880
0.004,1.0,0.012,1,5,19561881
0.004,1.0,0.01,1,5,19561882
0.004,1.0,0.0,1,4,19561883
0.004,1.0,0.052,1,6,19561884
0.004,1.0,0.068,1,6,19561885
0.004,1.0,0.021,1,5,19561886
0.004,1.0,0.0,1,3,19561887
0.004,1.0,0.036,1,5,19561888
0.004,1.0,0.0,1,5,19561889
0.004,1.0,0.008,1,5,19561890
0.004,1.0,0.022,1,7,19561891
0.004,1.0,0.01,1,4,19561892
0.004,1.0,0.109,1,7,19561893
0.004,1.0,0.026,1,6,19561894
0.004,1.0,0.006,1,5,19561895
0.004,1.0,0.045,1,5,19561896
0.004,1.0,0.009,1,4,19561897
0.004,1.0,0.057,1,5,19561898
0.004,1.0,0.0,1,4,19561899
0.004,1.0,0.027,1,5,19561900
0.004,1.0,0.051,1,4,19561901
0.004,1.0,0.084,1,6,19561902
0.004,1.0,0.029,1,4,19561903
0.004,1.0,0.0,1,4,19561904
0.004,1.0,0.023,1,4,19561905
0.004,1.0,0.018,1,5,19561906
0.004,1.0,0.1,1,6,19561907
0.004,1.0,0.029,1,6,19561908
0.004,1.0,0.031,1,6,19561909
0.004,1.0,0.035,1,4,19561910
0.004,1.0,0.015,1,6,19561911
0.004,1.0,0.045,1,6,19561912
0.004,1.0,0.022,1,5,19561913
0.004,1.0,0.025,1,5,19561914
0.004,1.0,0.0,1,5,19561915
0.004,1.0,0.074,1,8,19561916
0.004,1.0,0.0,1,4,19561917
0.004,1.0,0.048,1,5,19561918
0.004,1.0,0.047,1,6,19561919
0.004,1.0,0.054,1,5,19561920
0.004,1.0,0.01,1,5,19561921
0.004,1.0,0.053,1,8,19561922
0.004,1.0,0.038,1,6,19561923
0.004,1.0,0.066,1,5,19561924
0.004,1.0,0.0,1,5,19561925
0.004,1.0,0.033,1,5,19561926
0.004,1.0,0.0,1,5,19561927
0.004,1.0,0.024,1,5,19561928
0.004,1.0,0.096,1,5,19561929
0.004,1.0,0.0,1,5,19561930
0.008,1.0,0.0,1,3,19561831
0.008,1.0,0.0,1,3,19561832
0.008,1.0,0.0,1,3,19561833
0.008,1.0,0.0,1,3,19561834
0.008,1.0,0.0,1,3,19561835
0.008,1.0,0.0,1,3,19561836
0.008,1.0,0.0,1,3,19561837
0.008,1.0,0.0,1,4,19561838
0.008,1.0,0.016,1,4,19561839
0.008,1.0,0.0,1,3,19561840
0.008,1.0,0.0,1,3,19561841
0.008,1.0,0.021,1,4,19561842
0.008,1.0,0.0,1,3,19561843
0.008,1.0,0.0,1,3,19561844
0.008,1.0,0.035,1,4,19561845
0.008,1.0,0.0,1,4,19561846
0.008,1.0,0.0,1,4,19561847
0.008,1.0,0.0,1,3,19561848
0.008,1.0,0.0,1,4,19561849
0.008,1.0,0.02,1,4,19561850
0.008,1.0,0.0,1,4,19561851
0.008,1.0,0.0,1,4,19561852
0.008,1.0,0.017,1,4,19561853
0.008,1.0,0.0,1,3,19561854
0.008,1.0,0.0,1,4,19561855
0.008,1.0,0.0,1,3,19561856
0.008,1.0,0.017,1,4,19561857
0.008,1.0,0.0,1,3,19561858
0.008,1.0,0.0,1,3,19561859
0.008,1.0,0.0,1,3,19561860
0.008,1.0,0.0,1,3,19561861
0.008,1.0,0.0,1,3,19561862
0.008,1.0,0.0,1,4,19561863
0.008,1.0,0.0,1,4,19561864
0.008,1.0,0.0,1,3,19561865
0.008,1.0,0.0,1,3,19561866
